Structure	Sample ID	EPK_PI3Kd / IC50 [µM]_Q	EPK_PI3Kd / IC50 [µM]	EPK_PI3Ka / IC50 [µM]_Q	EPK_PI3Ka / IC50 [µM]	EPK_PI3Kb / IC50 [µM]_Q	EPK_PI3Kb / IC50 [µM]	EPK_PI3Kg / IC50 [µM]_Q	EPK_PI3Kg / IC50 [µM]	Cells PI3Kd / IC50 [nM]_Q	Cells PI3Kd / IC50 [nM]	Cells PI3Ka / IC50 [nM]_Q	Cells PI3Ka / IC50 [nM]	Cells PI3Kb / IC50 [nM]_Q	Cells PI3Kb / IC50 [nM]	mCD86test / IC50 CD86 [nmol l-1]_Q	mCD86test / IC50 CD86 [nmol l-1]	BM Prolif. / IC50 [nmol l-1]_Q	BM Prolif. / IC50 [nmol l-1]	HT-logPo/w / logP o/w_Q	HT-logPo/w / logP o/w	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]_Q	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]	HT-perm / logPe pH6.8_Q	HT-perm / logPe pH6.8	HT-Eq Sol / pH 6.8 (g/l)_Q	HT-Eq Sol / pH 6.8 (g/l)	HT-pKa / pKa1_Q	HT-pKa / pKa1	HT-pKa / pKa2_Q	HT-pKa / pKa2	HT-pKa / pKa3_Q	HT-pKa / pKa3
N5(C(C4C=C(C2=NC=NC1=CC=C(C=C12)C3C=CC(=C(OC)C=3)OC)C(C)=CC=4)=O)CCN(C)CC5	NVP-BYN340-NX-1		1.06		2.8		2.339		3.881																								
N5(C(C4C=C(C2=NC=NC3=CC=C(C1=CC(=C(C=C1)OC)OC)C=C23)C(C)=CC=4)=O)CCN(C(C)C)CC5	NVP-BYN341-NX-1		0.581		1.538		1.514		4.973																								
N5(C(C1C=C(C(C)=CC=1)C3=NC=NC2=CC=C(C=C23)C4=CC(=C(C=C4)OC)OC)=O)CCN(C(=O)C)CC5	NVP-BYN344-NX-1		0.222		3.112		6.64		1.916																								
C4(C=C3C(C1C=CC=C(C=1)C(N2CCN(CC2)C(=O)C)=O)=NC=NC3=CC=4)C6=CC=C5C(OCO5)=C6	NVP-BYN360-NX-1		0.051		0.687		6.625		1.362		1722		3738	>	10000						2.9		58.1		-4.5		0.011						
C5(C1=CN(N=C1)C)C=C4C(C3C=CC=C(C(N2CCN(CC2)C(C)C)=O)C=3)=NC=NC4=CC=5	NVP-BYP089-AI-1		0.936		2.922	>	9.1	>	9.1												2.8		73.9		-4.6	>	0.555		3.0				
C1(=CC=C4C(=C1)C(C3C=CC=C(C(N2CCN(CC2)C)=O)C=3)=NC=N4)C5=CN(N=C5)C	NVP-BYP320-AI-1		0.266		1.479	>	9.1		5.804												2.4		57.3		-5.1	>	0.527		3.1				
C4(C=C3C(C2C=CC=C(C(N1CCN(CC1)CCO)=O)C=2)=NC=NC3=CC=4)C5=CN(N=C5)C	NVP-BYP437-AI-1		0.265		1.554	>	9.1		6.677												1.9		5.8		-7.1	>	0.557		3.1				
C3(C1=CC(OC)=C(OC)C=C1)C=C2C(=NC=NC2=CC=3)C4=CC(=CC=C4)C(NCC(N)(C)C)=O	NVP-BYR381-AI-1		0.036		0.039		0.28		0.97												3.2		13.7		-7.6	>	0.571						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)OC	NVP-BYS759-NX-1		0.034		0.615		6.582		5.616		520		5793	>	10000		112.0		5958.0		1.9		78.3		-4.4	>	0.44		3.4				
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CCN(CC3)C(=O)C)=O)=CC(=C4)C(F)(F)F)C5=CC=C(C(=C5)OC)OC	NVP-BYS762-NX-1		0.011		0.246		7.527		0.436		1882		3240	>	10000		355.0				3.1		35.2		-4.0		0.0070						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CC=C6C(=C5)OCCO6	NVP-BYS787-NX-1		0.071		1.507	>	9.1		9.07		3696	>	10000	>	10000						2.4		86.8		-4.1	>	0.468						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCC(CC4)CO)=O)C5=CC(=C(C=C5)OC)OC	NVP-BYS796-NX-1		0.028		0.12		2.281		0.53														83.9		-4.7	>	0.484						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CC(CCC4)NC(=O)C)=O)C5=CC(=C(C=C5)OC)OC	NVP-BYT461-NX-1		0.149		1.0		8.716		3.863														88.3		-5.8	>	0.511		3.4				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN(N=C5)C	NVP-BYS048-NX-1		0.178		2.296	>	9.1	>	9.1												2.9		69.6		-6.1	>	0.413						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN(N=C5)C	NVP-BYS048-NX-2		0.162		2.45	>	9.1		7.378												2.6		36.6		-6.1	>	0.413						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)C	NVP-BYT647-NX-1		0.05		0.584		7.423		4.27		1206	>	10000	>	10000								83.3		-5.7				4.6				
N1(CC(CCC1)NC(=O)C)C(C5C=C(C3=NC=NC2=CC=C(C=C23)C4C=CC(OC)=C(OC)C=4)C(C)=CC=5)=O	NVP-BYU187-NX-1		1.728		8.087	>	9.1		3.65												2.6		88.3		-5.6	>	0.525						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=C(C=CC=C5)C(=O)OC	NVP-BYU314-NX-1		3.737	>	9.1	>	9.1	>	9.1												2.4		52.1		-5.3	>	0.495		3.3				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CC(=C(C=C5)F)C(F)(F)F	NVP-BYU315-NX-1		0.045		2.958	>	9.1		1.512		3263	>	10000	>	10000						3.8		63.9		-3.8		0.061						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CC(=CC=C5)C(F)(F)F	NVP-BYU317-NX-1		0.01		1.097		7.573		1.28		2312	>	10000	>	10000						3.1		56.5		-4.1		0.117						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CC(=C(C=C5)Cl)C(F)(F)F	NVP-BYU316-NX-1		0.01		1.752		8.51		2.078		1726	>	10000	>	10000		870.0		2362.5		4.0		68.6		-4.1		0.047		3.3				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BYU411-NX-1		0.0055		0.646		3.934		5.372		1038	>	10000	>	10000		190.0				3.6		81.7		-3.8		0.475						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4C(CNCC4)(C)C)=O)C5=CC(=C(C=C5)OC)OC	NVP-BYU412-NX-1		0.0065		0.034		0.26		0.593												3.0		90.2		-4.0	>	0.483						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CC(CNCC4)(F)F)=O)C5=CN(N=C5)C	NVP-BYU426-NX-1		0.013		0.256		8.245		1.87		2002	>	10000	>	10000								82.2		-5.2		0.015		3.1				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CN=C(C=C5C)N	NVP-BYX598-NX-1		0.031		2.379		8.422	>	9.1	>	10000										2.2		49.1		-8.7				6.0				
C1(C=C2C(=CC=1)N=CN=C2C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CC(=C(C=C5)OC)OC	NVP-BQT691-NX-4		0.01		0.235		3.399	>	9.1		963		5476	>	10000																		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CC6=C(C=C5)OC(O6)(F)F	NVP-BYX759-NX-1		0.158	>	9.1	>	9.1	>	9.1	>	10000										3.4		62.5		-4.8		0.055						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CC=C(N=C5)C(F)(F)F	NVP-BYX761-NX-1		0.018		1.644	>	9.1	>	9.1		1734						285.0				2.2		58.1		-5.1		0.439						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CN(N=C5)C(C)C	NVP-BYX760-NX-1		0.038		3.091	>	9.1	>	9.1	>	10000										2.4		36.6		-5.6	>	0.469						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)OC	NVP-BYY113-NX-1		0.02		0.262		3.308		1.018		318		2667	>	10000		51.5		3016.5		2.2		92.2		-3.7	>	0.44		3.0				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC=C6C(=C5)OCCO6	NVP-BYY117-NX-1		0.064		1.428	>	9.1		6.108		3508										3.4		90.2		-3.8		0.035						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=C(C=C5)Cl)C(F)(F)F	NVP-BYY119-NX-1		0.111		3.178	>	9.1		5.746		2735										4.2		91.6		-4.0		0.026						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=C(C=C5)F)C(F)(F)F	NVP-BYY128-NX-1		0.136		3.478		8.952		5.988		3310										3.9		90.9		-4.1		0.132						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)C	NVP-BYY154-NX-1		0.012		0.678		8.749		2.234		1327						180.0				3.0				-5.4	>	0.424		4.5				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BYY160-NX-1		0.024		2.483	>	9.1	>	9.1		1210						375.0				3.8		91.6		-4.0		0.0050						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC=CC(=C5)S(=O)(=O)C	NVP-BYY250-NX-1		0.03		1.902	>	9.1		4.944		3412										1.9		89.6		-5.5	>	0.487						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=CC(=C5)S(=O)(=O)C	NVP-BYY267-NX-1		0.015		0.4		3.268		5.915		2168										2.4		58.4		-6.2	>	0.488						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCNC(C4)(C)C)=O)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BYY951-NX-1		0.005		0.032		0.33		5.863												2.4		76.7		-6.8	>	0.508		2.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CC5NCC4C5)=O)C6=CN=C(C(=C6)C(F)(F)F)N	NVP-BYY954-NX-1		0.008		0.048		0.105		4.923		7715												14.4		-8.8	>	0.491		2.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCNC[C@@H]4C)=O)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BYY956-NX-1		0.006		0.051		0.386		3.856		1000										2.2		76.7		-6.6	>	0.493		2.2				
C1(=CC=C2C(=C1)C(=NC=N2)C3=C(C(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C)C5=CC=C(C(=C5)OC)OC	NVP-BYY957-NX-1		0.457		1.082		7.517		6.254												2.6		72.0		-5.4	>	0.511		2.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CC5NCC4C5)=O)C6=CN=C(C=C6)OC	NVP-BYZ264-NX-1		0.007		0.372		0.752		2.308		1918		9157		3406						2.2		49.0		-6.5	>	0.437		3.0				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CC5NCC4C5)=O)C6=CC=C(C(=C6)C(F)(F)F)OC	NVP-BYZ265-NX-1		0.012		0.77		0.416		1.713		2907	>	10000	>	10000						3.1		58.1		-5.3		0.105						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CC5NCC4C5)=O)C6=CN=C(C(=C6)C(F)(F)F)N	NVP-BYZ356-NX-1		0.0023		0.034		0.034		0.594		5972	>	10000	>	10000						2.6		34.8		-6.8	>	0.49		3.5				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN(N=C5)C(C)C	NVP-BZA608-NX-1		0.074		1.764	>	9.1		5.909		2101	>	10000	>	10000						2.9		66.8		-4.1	>	0.441		3.1				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN(N=C5C)C	NVP-BZA609-NX-1		0.17		5.495	>	9.1		4.68	>	10000	>	10000	>	10000						2.8		68.5		-4.9	>	0.427		3.2		6.6		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=CN=C5)C(F)(F)F	NVP-BZA610-NX-1		0.016		0.292		4.03		1.549		548		3955	>	10000		122.5		4569.0		2.8		85.3		-3.9	>	0.477		3.3		6.5		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=C(N(N=C5)C)C	NVP-BZA611-NX-1		0.066		0.368	>	9.1		3.132		1612		3211	>	10000						2.4		68.6		-4.9	>	0.427		3.2		6.6		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CC(NC(C4)C)C)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BZA760-NX-1		0.01		0.717		2.626		2.668		2021	>	10000	>	10000						3.8		83.6		-4.1	>	0.522						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCNC(C4)(C)C)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BZA759-NX-1		0.0036		0.401		1.34		1.273		882	>	10000	>	10000		79.0		5008.5		3.5		90.9		-4.3	>	0.522						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N(CCN4CCOCC4)C)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BZA761-NX-1		0.024		1.106		3.47		3.568		3717	>	10000	>	10000						3.4		94.3		-3.8		0.243						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4C[C@H]5NC[C@@H]4C5)=O)C6=CC=C(C(=C6)C(F)(F)F)OC	NVP-BZA762-NX-1		0.007		0.793		0.928		3.213		5858		8358	>	10000						3.0		40.7		-6.0		0.163						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CC(CNCC4)(F)F)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BZA764-NX-1		0.021		0.904		4.364		2.23		495		5504	>	10000		58.5		1587.5		3.8		92.6		-3.9		0.015						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N(CCN4CCOCC4)[H])=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BZA763-NX-1		0.016		0.436		1.502		2.364		2440	>	10000	>	10000						3.9		89.6		-4.2		0.098						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCOCC4)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BZA765-NX-1		0.022		1.334		5.316		2.464		1991	>	10000	>	10000						3.6		86.5		-4.0		0.028						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCNC[C@@H]4C)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-BZA766-NX-1		0.01		0.558		1.769		1.238		4494		2759	>	10000						2.9		86.8		-4.3		0.093						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN=C(N=C5)OC	NVP-BZE309-NX-1		0.032		1.709	>	9.1		5.914		5722	>	10000	>	10000						2.4		44.9		-5.9	>	0.441						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CC(=CN=C5)C(F)(F)F	NVP-BZE310-NX-1		0.036		0.513		7.092		5.028		1360	>	10000	>	10000						2.2		37.9		-4.6	>	0.478						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CC(=C(C=C5)OC)OC	NVP-BZE312-NX-1		0.015		0.16		2.485		0.938		358		4662	>	10000		43.3		2133.0		2.8		65.2		-4.5	>	0.47						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN=C(N=C5)N	NVP-BZE313-NX-1		0.02		0.657		5.909		4.388		5491	>	10000		2115								33.1		-7.8	>	0.426		3.6				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4C[C@H]5N(C[C@@H]4C5)C)=O)C6=CN=C(C(=C6)C(F)(F)F)N	NVP-BZE323-NX-1		0.018		0.061		0.331		2.133												2.2				-6.6	>	0.506		3.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CCC4)C)=O)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BZE322-NX-1		0.0044		0.05		0.318		1.9												2.8		70.4		-6.3	>	0.508		3.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N(CCN4CCOCC4)C)=O)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BZE326-NX-1		0.016		0.07		0.814		2.998												2.4		90.9		-5.4	>	0.538		3.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCNCC(C4)(F)F)=O)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BZE324-NX-1		0.008		0.022		0.27		0.659												2.2		88.6		-5.4		0.078		3.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCOCC4)=O)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BZE325-NX-1		0.011		0.04		0.424		1.244												2.4		59.3		-4.9		0.252		3.8				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5C=NC(=C(C=5)C)F	NVP-BZJ044-NX-1		0.023		0.22		4.802		0.494		3178		3745	>	10000						2.8		84.7		-4.0	>	0.442						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5C=NC(=CC=5)OCC	NVP-BZJ045-NX-1		0.012		0.695	>	9.1		1.676		675		4496	>	10000		215.0		4505.5		3.2		90.6		-3.8	>	0.454		2.8				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5C=NC(=CC=5)N(C)C	NVP-BZJ046-NX-1		0.0064		0.353	>	9.1		1.208		663		3613	>	10000		290.0		2648.6666666666665		2.8		73.1		-3.8	>	0.453		5.0		6.3		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5C=NC(=CN=5)OC	NVP-BZJ047-NX-1		0.02		2.16	>	9.1		5.798		751	>	10000	>	10000		460.0		7536.0		2.6				-4.0	>	0.44						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5C=NC(=CC=5)N6CCOCC6	NVP-BZJ043-NX-1		0.184		5.31	>	9.1	>	9.1												2.8		58.2		-4.2	>	0.495		3.8				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5C=NC(=CC=5)OC(C)C	NVP-BZJ050-NX-1		0.075		6.55	>	9.1	>	9.1		6054	>	10000	>	10000						3.9		89.0			>	0.468		2.9				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5C=NC(=CC=5)N6CCNCC6	NVP-BZJ049-NX-1		0.042		1.285	>	9.1	>	9.1	>	10000	>	10000	>	10000						3.0		43.4		-7.6	>	0.494		3.2		8.4		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)N6CCCC6	NVP-BZJ048-NX-1		0.017		1.232	>	9.1		2.421		1322		2189	>	10000						3.5		77.1		-3.6	>	0.479		5.3				
C1(C=C2C(=CC=1)N=CN=C2C4C=NC=C(C(N3CCN(CC3)C)=O)C=4)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BYD651-NX-2	<	0.003		0.022		0.243		0.273																								
C1(C=C2C(=CC=1)N=CN=C2C4C=NC=C(C(N3CCN(CC3)C)=O)C=4)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BYD651-NX-3	<	0.003		0.031		0.37		0.372																								
C2(=CC=C1N=CN=C(C1=C2)C3C=NC=C(C(N)=O)C=3)C4=CN=C(C(=C4)C(F)(F)F)N	NVP-BZJ750-NX-1		0.01		0.02		0.07		0.268												2.2		34.5		-7.1		0.0050		3.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCNC(C4)(C)C)=O)C5=CN=C(C=C5)OC	NVP-BZM137-NX-1		0.0027		0.1		3.044		0.752		278		2636		2917		51.7		1936.0		2.8		89.3		-4.7	>	0.454		3.4				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N(CCN4CCOCC4)[H])=O)C5=CN=C(C=C5)OC	NVP-BZM138-NX-1		0.009		0.093		2.176		0.462		358		1857		5806		155.0		4124.5		2.6		93.3		-4.3	>	0.47		3.4				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4(C)C)C)=O)C5=CN=C(C=C5)OC	NVP-BZM139-NX-1	<	0.003		0.013		0.924		0.215												3.4		92.2		-3.6		0.022		3.4				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CC(CNCC4)(F)F)=O)C5=CN=C(C=C5)OC	NVP-BZM144-NX-1		0.003		0.036		0.958		0.283		84		1072		2346		45.5		2306.0		3.0		92.6		-3.8		0.35		3.4				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CC(NC(C4)C)C)=O)C5=CN=C(C=C5)OC	NVP-BZM142-NX-1		0.0058		0.181		6.062		1.304		568		3228	>	10000		113.3		3607.5		1.9		61.2		-4.3	>	0.454		3.3				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CN=C(C=C5)OC	NVP-BZM143-NX-1		0.004		0.099		3.848		0.629		47		2040		4883		25.0		3040.0		2.9		93.3		-3.7	>	0.468		3.4				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4C[C@H]5N(C[C@@H]4C5)C)=O)C6=CN=C(C=C6)OC	NVP-BZM140-NX-1	<	0.003		0.146		1.794		0.91		160		4942		9975		44.0		6948.0		2.8		86.8		-4.8	>	0.452		3.4				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCCN(CC4)C)=O)C5=CN=C(C=C5)OC	NVP-BZM141-NX-1		0.0038		0.196		1.754		0.918		295		7708	>	10000		78.5		3837.5		2.9		87.4		-4.5	>	0.454		3.4				
C1(=CC(=C(C=C1)OC)OC)C5=CC=C2C(C(=NC=N2)C3=CC(=CC=C3F)C(N4CCN(CC4)C(C)C)=O)=C5	NVP-BZM145-NX-1		0.164		2.002		6.958		0.764												3.7		79.8		-3.6	>	0.515						
C1(=CC(=C(C=C1)OC)OC)C5=CC=C2C(C(=NC=N2)C3=CC(=CC=C3F)C(N4CCN(CC4)C)=O)=C5	NVP-BZM290-NX-1		0.035		0.87		4.174		0.763		1680		2436	>	10000						3.1		78.8		-4.1	>	0.487		4.4				
C1(=CC(=C(C=C1)OC)OC)C5=CC=C2C(C(=NC=N2)C3=CC(=CC=C3F)C(N4CCN(CC4)C(C)=O)=O)=C5	NVP-BZM291-NX-1		0.032		1.146		7.148		0.92		1590	>	10000	>	10000								50.3				0.473						
N1(CCN(CC1)C)C(C6C=C(C3=NC=NC2=CC=C(C=C23)C4=CN=C5C(=C4)C=CN5)C=CC=6)=O	NVP-BQL041-NX-2		0.006		0.076		2.464		0.409												2.9		91.2		-5.6	>	0.449		3.4				
C1(=CC(=C(C=C1)OC)OC)C5=CC=C2C(C(=NC=N2)C3=CC(=C(C=C3)C)C(N4CCN(CC4)C(C)C)=O)=C5	NVP-BZM688-NX-1		0.005		0.124		4.214		0.424		299		1094		2633		111.0		2735.0		3.7	>	94.3		-3.9	>	0.511		2.8				
C1(=CC(=C(C=C1)OC)OC)C5=CC=C2C(C(=NC=N2)C3=CC(=C(C=C3)C)C(N4CCN(CC4)C(C)=O)=O)=C5	NVP-BZM687-NX-1		0.021		0.292		5.213		0.758		633		2944		1234						2.6		80.3		-4.7	>	0.511		2.9				
C1(=CC(=C(C=C1)OC)OC)C5=CC=C2C(C(=NC=N2)C3=CC(=C(C=C3)C)C(N4CCN(CC4)C)=O)=C5	NVP-BZM689-NX-1		0.037		0.498	>	9.1		0.938		268		739	>	10000						3.2		94.0		-4.0	>	0.483		2.8				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(=O)N4CCNC[C@@H]4C)C5=CN=C(C=C5)OC	NVP-BZM716-NX-1		0.0035		0.101		2.249		0.919		266		3428	>	10000		64.0		3771.5		2.8		81.9		-4.9	>	0.44		2.9				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)C(F)(F)F)OC	NVP-BZM717-NX-1	<	0.003		0.078		0.392		0.484		104		2438		3178		73.5		2703.0		3.9		79.3		-3.6		0.435		6.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN=C6C(=C5)C=CN6	NVP-BZM718-NX-1	<	0.003		0.048		2.215		0.954		450		3570	>	10000		65.5		1344.5		2.4		79.8		-6.7	>	0.45		3.3				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(=O)N4CCN(C[C@@H]4C)C)C5=CN=C(C=C5)OC	NVP-BZQ921-NX-1		0.0045		0.237		3.765		0.446		313		6087		9301		95.0		2784.5		3.1		91.9		-3.6	>	0.454		3.1				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(N=C5)OC	NVP-BZV435-NX-1		0.01		0.779		9.078		1.325		636	>	10000	>	10000						2.2		85.0		-5.1		0.416						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=C(N=C5)OC)C	NVP-BZV433-NX-1		0.005		0.077		0.486		0.712		61		1060	>	10000		13.3		666.0		3.5		91.9		-3.9	>	0.454						
